Rank,Score,Plaintext,Keystream_27,UnknownResiduesFill
1,28.26,QDEPKOYWXVANRHIBUOOBEEASTNORTHEASTWKKZSIYKIENXZHVPUHHJWFCYMIONSBERLINCLOCKEFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNASBLZCDC,"r7=S, r8=J, r20=S"
2,28.2,QDEPKOYWXVANRHIBUOOBBEASTNORTHEASTWKKZSIYKIENXZEVPUHHJWFCYMIONSBERLINCLOCKBFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAVBLZCDC,"r7=S, r8=J, r20=V"
3,28.2,QDEPKOYWXVANRHIBUOOBYEASTNORTHEASTWKKZSIYKIENXZBVPUHHJWFCYMIONSBERLINCLOCKYFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAYBLZCDC,"r7=S, r8=J, r20=Y"
4,27.76,QDEPKOYOSVANRHIBUOOBEEASTNORTHEASTOFKZSIYKIENXZHVPUHHJWFCYMIOFNBERLINCLOCKEFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNASBLZCDC,"r7=A, r8=O, r20=S"
5,27.71,QDEPKOYOAVANRHIBUOOBEEASTNORTHEASTONKZSIYKIENXZHVPUHHJWFCYMIOFVBERLINCLOCKEFSLXURLEXGWKVHOOAGARUH,YYGCKAZAGMUYKLGKORNASBLZCDC,"r7=A, r8=G, r20=S"
6,27.66,QDEPKOYOSVANRHIBUOOBBEASTNORTHEASTOFKZSIYKIENXZEVPUHHJWFCYMIOFNBERLINCLOCKBFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNAVBLZCDC,"r7=A, r8=O, r20=V"
7,27.65,QDEPKOYOSVANRHIBUOOBYEASTNORTHEASTOFKZSIYKIENXZBVPUHHJWFCYMIOFNBERLINCLOCKYFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNAYBLZCDC,"r7=A, r8=O, r20=Y"
8,27.61,QDEPKOYOAVANRHIBUOOBBEASTNORTHEASTONKZSIYKIENXZEVPUHHJWFCYMIOFVBERLINCLOCKBFSLXURLEXGWKVHOOAGARUH,YYGCKAZAGMUYKLGKORNAVBLZCDC,"r7=A, r8=G, r20=V"
9,27.6,QDEPKOYOAVANRHIBUOOBYEASTNORTHEASTONKZSIYKIENXZBVPUHHJWFCYMIOFVBERLINCLOCKYFSLXURLEXGWKVHOOAGARUH,YYGCKAZAGMUYKLGKORNAYBLZCDC,"r7=A, r8=G, r20=Y"
10,27.55,QDEPKOYWXVANRHIBUOOBOEASTNORTHEASTWKKZSIYKIENXZRVPUHHJWFCYMIONSBERLINCLOCKOFSLXURLEXGWKVPLOAGARUH,YYGCKAZSJMUYKLGKORNAIBLZCDC,"r7=S, r8=J, r20=I"
