Rank,Score,Plaintext,Keystream_27,UnknownResiduesFill
1,33.44,QDEPKOYOFVANRHIBUOOBOEASTNORTHEASTOSKZSIYKIENXZRVPUHHJWFCYMIOFABERLINCLOCKOFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNAIBLZCDC,"r7=A, r8=B, r20=I"
2,32.99,QDEPKOYOFVANRHIBUOOBEEASTNORTHEASTOSKZSIYKIENXZHVPUHHJWFCYMIOFABERLINCLOCKEFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNASBLZCDC,"r7=A, r8=B, r20=S"
3,32.86,QDEPKOYOFVANRHIBUOOBBEASTNORTHEASTOSKZSIYKIENXZEVPUHHJWFCYMIOFABERLINCLOCKBFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNAVBLZCDC,"r7=A, r8=B, r20=V"
4,32.84,QDEPKOYOFVANRHIBUOOBYEASTNORTHEASTOSKZSIYKIENXZBVPUHHJWFCYMIOFABERLINCLOCKYFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNAYBLZCDC,"r7=A, r8=B, r20=Y"
5,31.49,QDEPKOYOFVANRHIBUOOBTEASTNORTHEASTOSKZSIYKIENXZWVPUHHJWFCYMIOFABERLINCLOCKTFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNADBLZCDC,"r7=A, r8=B, r20=D"
6,31.44,QDEPKOYOFVANRHIBUOOBREASTNORTHEASTOSKZSIYKIENXZUVPUHHJWFCYMIOFABERLINCLOCKRFSLXURLEXGWKVHTOAGARUH,YYGCKAZABMUYKLGKORNAFBLZCDC,"r7=A, r8=B, r20=F"
7,31.42,QDEPKOYORVANRHIBUOOBOEASTNORTHEASTOEKZSIYKIENXZRVPUHHJWFCYMIOFMBERLINCLOCKOFSLXURLEXGWKVHFOAGARUH,YYGCKAZAPMUYKLGKORNAIBLZCDC,"r7=A, r8=P, r20=I"
8,31.41,QDEPKOYOSVANRHIBUOOBOEASTNORTHEASTOFKZSIYKIENXZRVPUHHJWFCYMIOFNBERLINCLOCKOFSLXURLEXGWKVHGOAGARUH,YYGCKAZAOMUYKLGKORNAIBLZCDC,"r7=A, r8=O, r20=I"
9,31.4,QDEPKOYONVANRHIBUOOBOEASTNORTHEASTOAKZSIYKIENXZRVPUHHJWFCYMIOFIBERLINCLOCKOFSLXURLEXGWKVHBOAGARUH,YYGCKAZATMUYKLGKORNAIBLZCDC,"r7=A, r8=T, r20=I"
10,31.39,QDEPKOYAAVANRHIBUOOBOEASTNORTHEASTANKZSIYKIENXZRVPUHHJWFCYMIORVBERLINCLOCKOFSLXURLEXGWKVTOOAGARUH,YYGCKAZOGMUYKLGKORNAIBLZCDC,"r7=O, r8=G, r20=I"
